Date,Research Firm,Action,From,To,
4-Oct-04,Caris & Company,Upgrade,Above Average,Buy,
9-Sep-04,Bear Stearns,Downgrade,Outperform,Peer Perform,
18-Aug-04,CSFB,Initiated,,Neutral,
16-Jul-04,Caris & Company,Initiated,,Average,
15-Jul-04,Fulcrum,Upgrade,Neutral,Buy,
15-Jul-04,Bear Stearns,Upgrade,Peer Perform,Outperform,
15-Jul-04,First Albany,Upgrade,Neutral,Buy,
2-Jul-04,Smith Barney Citigroup,Upgrade,Hold,Buy,
28-Jun-04,Piper Jaffray,Upgrade,Market Perform,Outperform,
30-Apr-04,Piper Jaffray,Initiated,,Market Perform,
15-Apr-04,Smith Barney Citigroup,Upgrade,Sell,Hold,
6-Apr-04,Schwab Soundview,Initiated,,Neutral,
22-Mar-04,FTN Midwest,Upgrade,Neutral,Buy,
15-Jan-04,UBS,Upgrade,Neutral,Buy,
13-Jan-04,Thomas Weisel,Upgrade,Peer Perform,Outperform,
12-Dec-03,First Albany,Initiated,,Neutral,
2-Dec-03,JP Morgan,Initiated,,Neutral,
21-Nov-03,UBS,Initiated,,Neutral,
19-Nov-03,Banc of America Sec,Initiated,,Neutral,
29-Sep-03,Lehman Brothers,Upgrade,Equal-weight,Overweight,
11-Jul-03,Prudential,Initiated,,Hold,
24-Jun-03,Merrill Lynch,Upgrade,Sell,Neutral,
18-Jun-03,Needham & Co,Upgrade,Hold,Buy,
8-May-03,Smith Barney Citigroup,Upgrade,Underperform,In-line,
16-Jan-03,Needham & Co,Downgrade,Buy,Hold,
12-Dec-02,Fulcrum,Initiated,,Neutral,
1-Oct-02,Banc of America Sec,Initiated,,Mkt Perform,
17-Jul-02,Salomon Smth Brny,Downgrade,Buy,Neutral,
19-Jun-02,AG Edwards,Downgrade,Strong Buy,Hold,
19-Jun-02,Merrill Lynch,Downgrade,LT Buy,LT Neutral,
30-May-02,Thomas Weisel,Initiated,,Attractive,
11-Apr-02,UBS Warburg,Upgrade,Hold,Strong Buy,
5-Mar-02,First Albany,Initiated,,Neutral,
17-Jan-02,AG Edwards,Upgrade,Buy,Strong Buy,
17-Jan-02,Salomon Smth Brny,Upgrade,Neutral,Buy,
2-Jan-02,Gerard Klauer Mattison,Upgrade,Neutral,Outperform,
7-Nov-01,Deutsche Bc Alex. Br,Initiated,,Mkt Perform,
18-Oct-01,AG Edwards,Downgrade,Strong Buy,Buy,
14-Aug-01,ABN AMRO,Initiated,,Add,
23-May-01,Goldman Sachs,Initiated,,Mkt Outperform,
26-Apr-01,AG Edwards,Upgrade,Maintain Position,Buy,
19-Apr-01,SG Cowen,Downgrade,Buy,Neutral,
19-Apr-01,Lehman Brothers,Upgrade,Mkt Perform,Buy,
4-Jan-01,Needham & Co,Initiated,,Buy,
6-Dec-00,CSFB,Downgrade,Buy,Hold,
6-Dec-00,JP Morgan,Downgrade,Buy,LT Buy,
20-Nov-00,Wit SoundView,Downgrade,Strong Buy,Buy,
19-Oct-00,Gerard Klauer Mattison,Downgrade,Buy,Neutral,
13-Oct-00,CSFB,Initiated,,Buy,
29-Sep-00,AG Edwards,Downgrade,Accumulate,Maintain Position,
29-Sep-00,Bear Stearns,Downgrade,Buy,Neutral,
29-Sep-00,Merrill Lynch,Downgrade,NT Accum,NT Neutral,
29-Sep-00,Mrgn Stnly Dn Wttr,Downgrade,Outperform,Neutral,
29-Sep-00,PaineWebber,Downgrade,Attractive,Neutral,
29-Sep-00,Salomon Smth Brny,Downgrade,Buy,Neutral,
29-Sep-00,Banc of America Sec,Downgrade,Strong Buy,Market Perform,
29-Sep-00,SG Cowen,Downgrade,Strong Buy,Buy,
25-Aug-00,Wit SoundView,Upgrade,Buy,Strong Buy,
9-Aug-00,PaineWebber,Upgrade,Neutral,Attractive,
20-Jul-00,SG Cowen,Upgrade,Buy,Strong Buy,
30-May-00,Lehman Brothers,Initiated,,Neutral,
12-Apr-00,Banc of America Sec,Upgrade,Buy,Strong Buy,
4-Feb-00,Brown Brothers,Upgrade,LT Neutral,LT Buy,
20-Jan-00,SG Cowen,Upgrade,Neutral,Buy,
20-Jan-00,Salomon Smth Brny,Upgrade,Outperform,Buy,
13-Jan-00,Mrgn Stnly Dn Wttr,Upgrade,Neutral,Outperform,
6-Jan-00,ABN AMRO,Upgrade,Outperform,Buy,
21-Dec-99,Merrill Lynch,Initiated,,NT Accum/LT Accum,
16-Nov-99,ABN AMRO,Initiated,,Outperform,
9-Nov-99,Salomon Smth Brny,Downgrade,Buy,Outperform,
14-Oct-99,DLJ,Upgrade,Buy,Top Pick,
27-Sep-99,Banc of America Sec,Upgrade,Market Perform,Buy,
26-Jul-99,SoundView,Initiated,,Buy,
15-Jul-99,CIBC World Markets,Downgrade,Hold,Underperform,
8-Jul-99,BB Robertson Stephens,Upgrade,LT Attractive,Buy,
1-Jun-99,Salomon Smth Brny,Upgrade,Neutral,Buy,
27-Apr-99,Goldman Sachs,Upgrade,Mkt Perform,Recomm. List,
15-Apr-99,BB Rbrtsn Stphns,Initiated,,LT Attractive,
22-Feb-99,Hambrecht & Quist,Initiated,,Hold,
15-Jan-99,Sands Bros,Downgrade,Strong Buy,Buy,
14-Jan-99,Salomon Smth Brny,Downgrade,Buy,Neutral,
14-Jan-99,DLJ,Upgrade,Mkt Perform,Buy,
7-Jan-99,CS First Boston,Upgrade,Hold,Buy,
6-Jan-99,CIBC Oppenheimer,Downgrade,Hold,Underperform,
5-Jan-99,Warburg Dlln Rd,Initiated,,Buy,
28-Oct-98,Prudential,Initiated,,Hold,
13-Oct-98,Sunlogic Sec,Initiated,,Buy,
3-Sep-98,PaineWebber,Initiated,,Neutral,
12-Aug-98,CS First Boston,Initiated,,Hold,
16-Jul-98,JP Morgan,Upgrade,LT Buy,Buy,
9-Jul-98,Robert M. Cohen,Downgrade,Speculative Buy,Neutral,
4-May-98,Bear Stearns,Upgrade,Attractive,Buy,
